messageid,Fulltext,Sender,SenderType,timeReceived,MainText,Url,Subdomain,Domain,TLD,RedirectedURL,Detected,Malicious,Phishing,Suspicious,Malware,Brand,URL Subcategory,Message Categories,FullyQualifiedDomain,Domain Registrar,Domain Creation Date,Domain Last Update
289,"1:17
254
O
she's LOLing with her friends about
your ""peter"". Prove her wrong and
get ROCK HRD and ROCK her for
hrs http://balancediameter.com/
H10QLy
A
A
:
+1 (659) 253-3012 >
Text Message
Tue, Oct 18 at 5:50 PM
The sender is not in your contact list.
Report Junk
O
Text Message
Cash",+1 (659) 253-3012,Phone Number,"12/20/2022, 09:38:39","she's LOLing with her friends about your ""peter"". Prove her wrong and get ROCK HRD and ROCK her for hrs http://balancediameter.com/H10QLy",http://balancediameter.com/H10QLy,,balancediameter,com,,0,0,0,0,0,,Random Domain,Advertisement,balancediameter.com,Internet BS Corp.,10/19/2022,10/19/2022
290,"1:17
273
O
|#invst-BoA#|
:We weren't able to
process your last withdrawal. For
more details, visit https://ishurl.info
A
A
8
+1 (781) 866-5444 >
Text Message
Sun, Oct 16 at 11:37 AM
The sender is not in your contact list.
Report Junk
Text Message
O
Cash",+1 (781) 866-5444,Phone Number,"12/20/2022, 09:39:57",":We weren't able to |#invst-BoA#| process your last withdrawal. For more details, visit https://ishurl.info",https://ishurl.info,,ishurl,info,,0,0,0,0,0,Bank of America,Random Domain,Finance/Crypto,ishurl.info,Tucows Domains Inc.,10/13/2022,11/10/2022
291,"1:18
273
O
EDDDCaBofa_Alert: Your prepaid
card starting 4427*** has been
deactivated. Click below to
reactivate now. https://visa-
reactivate.info/index2.html
A
A
•
+1 (626) 597-6707 >
Text Message
Sat, Oct 1 at 9:32 AM
The sender is not in your contact list.
Report Junk
O
Text Message
Cash",+1 (626) 597-6707,Phone Number,"12/20/2022, 09:41:17",EDDDCaBofa_Alert: Your prepaid card starting 4427*** has been deactivated. Click below to reactivate now. https://visa-reactivate.info/index2.html,https://visa-reactivate.info/index2.html,,visa-reactivate,info,,2,0,2,0,0,Bank of America,,Account Alert,visa-reactivate.info,"NameSilo, LLC",9/30/2022,9/30/2022
292,"1:18 1
273
O
Survey by Home Depot: Earn $100
http://moreshrill.shopping/PkRvik
A
A
8
+1 (539) 252-6618 >
Text Message
Sun, Sep 18 at 2:14 PM
The sender is not in your contact list.
Report Junk
Text Message
O
Cash",+1 (539) 252-6618,Phone Number,"12/20/2022, 09:42:19",Survey by Home Depot: Earn $100 http://moreshrill.shopping/PkRvik,http://moreshrill.shopping/PkRvik,,moreshrill,shopping,,0,0,0,0,0,Home Depot,Deceptive TLD,Advertisement,moreshrill.shopping,TLD Registrar Solutions Ltd.,9/18/2022,9/18/2022
293,"1:18
273
O
Monthly GiveAway by Home Depot
http://arsenicbon.shopping/tFet5j
A
A
•
+1 (225) 454-5858
Text Message
Sat, Sep 17 at 11:06 AM
The sender is not in your contact list.
Report Junk
iMessage
O
Cash",+1 (225) 454-5858,Phone Number,"12/20/2022, 09:43:09",Monthly GiveAway by Home Depot http://arsenicbon.shopping/tFet5j,http://arsenicbon.shopping/tFet5j,,arsenicbon,shopping,,0,0,0,0,0,Home Depot,Random Domain,Prize/Contest,arsenicbon.shopping,TLD Registrar Solutions Ltd.,9/17/2022,9/17/2022
294,"10:56
79
need extra working capital? We've
I
got you! Get approved & funds in
24-48hrs!
Click to apply https://tinyurl.llc/
FAtW7F STOP to end
97956 >
Text Message
Thu, Dec 1, 9:06 AM
O'
need extra working capital? We've
I
got you! Get approved & funds in
24-48hrs!
A
Click to apply https://tinyurl.llc/
ECEogR STOP to end
A
Tuesday 9:14 AM
Cash
Text Message
?",97956,Short Code,"12/20/2022, 09:48:29",need extra working capital? We've I got you! Get approved & funds in 24-48hrs! Click to apply https://tinyurl.llc/FAtW7F STOP to end need extra working capital? We've I got you! Get approved & funds in 24-48hrs! Click to apply https://tinyurl.llc/ECEogR STOP to end,https://tinyurl.llc/FAtW7F,,tinyurl,llc,https://shorefundingsolutions.com/apply-for-capital?s=ez-sms&utm_campaign=EZSMS_12_01_22,0,0,0,0,0,,URL Shortener,Loans/Credit,shorefundingsolutions.com,"GoDaddy.com, LLC",2/11/2014,9/15/2022
298,"r
1:56
Text Message
Dec 4, 2019 at 7:46 AM
RSVP for up to 5 free tickets
INVITATIONS ONLY COMEDY
Thurs. 10:30pm
info/tickets:
+1 (213) 214-9750>
http://tinyurl.com/u8bvs55
STOP 2 END
O°
A
Å
The sender is not in your contact list.
Report Junk
Text Message
il
|| Cash",+1 (213) 214-9750,Phone Number,"12/20/2022, 10:09:28",RSVP for up to 5 free tickets INVITATIONS ONLY COMEDY Thurs. 10:30pm info/tickets: http://tinyurl.com/u8bvs55 STOP 2 END,http://tinyurl.com/u8bvs55,,tinyurl,com,,1,0,1,1,0,,Random Domain,Advertisement,tinyurl.com,Tucows Domains Inc.,1/27/2002,6/28/2022
299,"r
1:56
O°
+1 (442) 248-3664 >
Your name came up Esther in
this [query] for missing $
mim342.com/e1630/75b822a
YourPhone bill: $85 Power.
Text Message
Feb 24, 2020 at 12:00 PM
A
Å
The sender is not in your contact list.
Report Junk
Text Message
|| Cash",+1 (442) 248-3664,Phone Number,"12/20/2022, 10:11:56",Your name came up Esther in this [query] for missing $ mim342.com/e1630/75b822a YourPhone bill: $85 Power.,mim342.com/e1630/75b822a,,mim342,com,,0,0,0,0,0,,Random Domain,Other,mim342.com,"NameSilo, LLC",2/24/2020,2/25/2020
300,"r
1:56
O°
8
+1 (207) 578-5496 >
Esther Money may be owed to
you that you're not aware of.
Expiring soon:
bdhicy.com/
okrWt zkMU6n1 Reply Stop to
Stop.
Text Message
Mar 26, 2020 at 5:24 PM
A
Å
The sender is not in your contact list.
Report Junk
Text Message
Cash",+1 (207) 578-5496,Phone Number,"12/20/2022, 10:16:01",Esther Money may be owed to you that you're not aware of. Expiring soon: bdhicy.com/okrWt zkMU6n1 Reply Stop to Stop. ,bdhicy.com/okrWt,,bdhicy,com,,0,0,0,0,0,,Random Domain,Finance/Crypto,bdhicy.com,"NameCheap, Inc.",12/26/2019,12/26/2020
303,"r
1:56
O°
9
+1 (231) 277-3745 >
NewDriving Rules:
Esther
CA Motorists are worried :
chl8vo.com/ykrrb Reply Stop
to Stop
Text Message
Mar 31, 2020 at 10:33 AM
A
Å
The sender is not in your contact list.
Report Junk
Text Message
|| Cash",+1 (231) 277-3745,Phone Number,"12/20/2022, 10:23:07",NewDriving Rules: Esther CA Motorists are worried : chl8vo.com/ykrrb Reply Stop to Stop,chl8vo.com/ykrrb,,chl8vo,com,,0,0,0,0,0,,Random Domain,Advertisement,chl8vo.com,"NameCheap, Inc.",1/3/2022,1/3/2022
304,"To: +1 (501) 891-8242
Text Message
Wed, Nov 2, 3:52 PM
CVS Customer Appreciation Week: Finish Quick Survey and
Receive up to $75 in CVS Store Rewards
comfortstale.com/elPdWW",+1 (501) 891-8242,Phone Number,"12/20/2022, 10:25:33",CVS Customer Appreciation Week: Finish Quick Survey and Receive up to $75 in CVS Store Rewards comfortstale.com/elPdWW,comfortstale.com/elPdWW,,comfortstale,com,https://404domain.com/,0,0,0,0,0,CVS,Random Domain,Advertisement,comfortstale.com,Hosting Concepts B.V. ,11/2/2022,11/2/2022
305,"10:35
O'
31507 >
Welcome to DietFix. Just 1
cup before bed can shed 28
lbs in 4 weeks.Check
winess21.com/3qOV Freq
varies.Msg&data rates may
apply.Help for help.Stop to
Stop
Text Message
Wednesday 8:03 AM
A
The sender is not in your contact list.
Report Junk
Text Message
27",31507,Short Code,"12/20/2022, 18:38:14",Welcome to DietFix. Just 1 cup before bed can shed 28 lbs in 4 weeks.Check wlness21.com/3qOV Freq varies.Msg&data rates may apply.Help for help.Stop to Stop,wlness21.com/3qOV,,wlness21,com,,2,0,0,0,2,DietFix,Random Domain,Advertisement,wlness21.com,"NameCheap, Inc.",9/15/2021,8/16/2022
307,"11:44 8
<
O
•
+1 (647) 378-8772 >
Order-ID 46987 Hello. The
delivery guy was at your door.
We missed you. Inform us when
we can come back today
b8061.me/duNccdX
Text Message
Sun, Mar 20 at 1:57 AM
A
A
The sender is not in your contact list.
Report Junk
Text Message
Cash
O
95",+1 (647) 378-8772,Phone Number,"12/20/2022, 19:46:59",Order-ID 46987 Hello. The delivery guy was at your door. We missed you. Inform us when we can come back today b806l.me/duNccdX ,b806l.me/duNccdX,,b806l,me,,0,0,0,0,0,,Random Domain,Delivery,b806l.me,"NameCheap, Inc.",2/10/2022,
310,"11:43
<
O
Application from: KJN468 -
Status: Completed, check
results: veilknitting.com/
y8mXEyk
8
+1 (240) 595-0571 >
Text Message
Tue, May 3 at 6:52 PM
A
A
The sender is not in your contact list.
Report Junk
Text Message
·|||
Cash
95",+1 (240) 595-0571,Phone Number,"12/20/2022, 19:51:32","Application from: KJN468 - Status: Completed, check results: veilknitting.com/y8mXEyk ",veilknitting.com/y8mXEyk,,veilknitting,com,,0,0,0,0,0,,Deceptive subdomain,Other,veilknitting.com,Hosting Concepts B.V. ,5/4/2022,5/4/2022
311,"11:43
<
O
•
+1 (771) 201-0767 >
Suzy from USPS wants to
contact you regarding one of
your pending parcels:
spongelowering.com/fxxgMDq
Text Message
Fri, May 6 at 11:24 AM
A
A
The sender is not in your contact list.
Report Junk
Text Message
Cash
95",+1 (771) 201-0767,Phone Number,"12/20/2022, 19:52:30",Suzy from USPS wants to contact you regarding one of your pending parcels: spongelowering.com/fxxgMDq ,spongelowering.com/fxxgMDq,,spongelowering,com,,0,0,0,0,0,USPS,Random Domain,Delivery,spongelowering.com,"SNAPNAMES 73, LLC",6/19/2022,
316,"11:40
56649 >
Text Message
Wed, Dec 7 at 10:26 AM
Old Row: Today is the last day
for GUARANTEED CHRISTMAS
DELIVERY
HURRY UP?
https://oldrow.vias.ms/jo8sP
Thursday 2:04 PM
Mile Ch
A
A
1961-2022
""YOU MIGHT BE THE LUCKIEST MAN ALIVE AND NOT EVEN KNOW IT.""
CHARITY SHIRT in memory of
Coach Mike Leach - 100% of net
proceeds donated to American
Heart Association in his honor.
Text Message
Cash
?
95",56649,Short Code,"12/20/2022, 19:56:44",Old Row: Today is the last day for GUARANTEED CHRISTMAS DELIVERY HURRY UP? https://oldrow.vias.ms/jo8sP CHARITY SHIRT in memory of Coach Mike Leach - 100% of net proceeds donated to American Heart Association in his honor.,https://oldrow.vias.ms/jo8sP,oldrow,vias,ms,,1,1,0,0,0,Old Row,Random Domain,Advertisement,oldrow.vias.ms,Key-Systems,11/5/2021,10/1/2022
317,"+1 (929) 527-6218
Text Message
Friday 7:07 PM
This is a gift to express our gratitude for
your exceptional payment record.
Merry Christmas!
T Mobile
yrt1x.info/RbGWPZ6FRQ",+1 (929) 527-6218,Phone Number,"12/20/2022, 20:10:56",This is a gift to express our gratitude for your exceptional payment record. Merry Christmas! T Mobile yrt1x.info/RbGWPZ6FRQ,yrt1x.info/RbGWPZ6FRQ,,yrt1x,info,,0,0,0,0,0,T-Mobile,Random Domain,Prize/Contest,yrt1x.info,Hosting Concepts B.V. ,12/16/2022,12/21/2022
318,"Text Message
Wed, Nov 9, 6:05 AM
Walgreens: You are one of few final selections
in our recent prize program & can redeem 1 of
834 rewards for a 1 min survey cpqsz.cc/
DwFK192",,,"12/20/2022, 20:13:41",Walgreens: You are one of few final selections in our recent prize program & can redeem 1 of 834 rewards for a 1 min survey cpqsz.cc/DwFK192,cpqsz.cc/DwFK192,,cpqsz,cc,,2,2,0,0,0,Walgreens,Random Domain,Prize/Contest,cpqsz.cc,Dynadot Inc,11/9/2022,11/9/2022
332,"7:55
r
13322619101
39
Mass text 20
Your invoice for last month is
received. Thank you! here's a
tiny gift for you: meF92.COM/
xMvLZnnJvP
o
|||
Saturday, October 1
+
O
54% ?? 5
MMS
6:18 AM
<
(?
?
+|1|1.",13322619101,Phone Number,"12/21/2022, 04:12:44",Your invoice for last month is received. Thank you! here's a tiny gift for you: meF92.COM/xMvLZnnJvP ,meF92.COM/xMvLZnnJvP,,mef92,com,,0,0,0,0,0,,Random Domain,Finance/Crypto,mef92.com,Hosting Concepts B.V. ,9/29/2022,9/29/2022
333,"7:56
<
39
o
+19148176475 ?
Navyfederal:Due to unusual
transaction we have
temporary locked Your DEBIT
Card.Confirm your details at
https://nfcu01login6h.finixp.org 11:12 AM
|||
Wednesday, September 21
+
54% ?? 5
O
<
(?
?
+|1|1.",19148176475,Phone Number,"12/21/2022, 04:16:10",Navyfederal:Due to unusual transaction we have temporary locked Your DEBIT Card.Confirm your details at https://nfcu01login6h.finixp.org 11:12 AM,https://nfcu01login6h.finixp.org,nfcu01login6h,finixp,org,,0,0,0,0,0,Navy Federal,Random Domain,Account Alert,nfcu01login6h.finixp.org,"GoDaddy.com, LLC",6/8/2015,
334,"7:43
?
(914) 267-2492
SMS
SEP 13 AT 1:09 PM
|||
[navyfederal-EAlert]: Due to unusual
activities we have temporary
locked Your DEBIT CARD.Confirm
your details at
https://nfcu01b-sign00.gipsitv.org
Tap and hold to pin
57% ?? 5
SMS
O
<
i
V",(914) 267-2492,Phone Number,"12/21/2022, 04:21:23",[navyfederal-EAlert]: Due to unusual activities we have temporary locked Your DEBIT CARD.Confirm your details at https://nfcu01b-sign00.gipsitv.org Tap and hold to pin,https://nfcu01b-sign00.gipsitv.org,nfcu01b-sign00,gipsitv,org,,0,0,0,0,0,Navy Federal,Random Domain,Account Alert,nfcu01b-sign00.gipsitv.org,DomainRegistry.com LLC,10/8/2014,12/8/2014
335,"7:44
?
(346) 810-3422
SMS
AUG 5 AT 2:22 AM
|||
Hello! We need extra hands in our
team to meet up with our clients
demand. Therefore, we'll like you to
join us as a Purchasing Agent.
You'll be working remotely and be
compensated with $600 weekly.
Why not visit
https://miborealityasociate.wixsite
.com/mibor to learn more about
this offer!
Tap and hold to pin
SMS
O
all 57%
<
i
<",(346) 810-3422,Phone Number,"12/21/2022, 04:30:36","Hello! We need extra hands in our team to meet up with our clients demand. Therefore, we'll like you to join us as a Purchasing Agent. You'll be working remotely and be compensated with $600 weekly. Why not visit https://miborealityasociate.wixsite.com/mibor to learn more about this offer! Tap and hold to pin",https://miborealityasociate.wixsite.com/mibor,,miborealityasociate,"wixsite, com",,1,0,1,0,0,,Deceptive subdomain,Job Advertisement,miborealityasociate.wixsite.com,"GoDaddy.com, LLC",5/8/2012,9/26/2022
336,"7:44
?
(808) 743-7342
SMS
|||
APR 12, 2022 AT 10:22 AM
chase mobile- online access
locked! due to multiple failed
attempts of wire transfer from
ip(72.103.23.01), please identify
your details at http://jmp.su/vrfy to
unlock.
Tap and hold to pin
SMS
57% ?? 5
O
<
i
?
V",(808) 743-7342,Phone Number,"12/21/2022, 04:35:52","chase mobile- online access locked! due to multiple failed attempts of wire transfer from ip(72.103.23.01), please identify your details at http://jmp.su/vrfy to unlock. ",http://jmp.su/vrfy,,jmp,su,,0,0,0,0,0,Chase,Random Domain,Account Alert,jmp.su,REGRU-SU,7/7/2022,
337,"7:45
?
ubr?zp6@na02wsmtpp02.ala...
ubr?zp6@na02wsmtpp02.alarm.com
APR 9, 2022 AT 9:23 AM
T-Mobile Deals / Congrats! Grab a
chance to win prizes worth up to
100 usd, Enter Here >>
ivXmv
himeji.sutekinet.info/rank.cgi?
mode=link&id=201&url=//nxm.us/
57% ?? 5
Tap and hold to pin
SMS
O
<
i
V",zp6@na02wsmtpp02.ala,Email To Text,"12/21/2022, 04:38:35","T-Mobile Deals / Congrats! Grab a chance to win prizes worth up to 100 usd, Enter Here >> himeji.sutekinet.info/rank.cgi?mode=link&id=201&url=//nxm.us/ivXmv",himeji.sutekinet.info/rank.cgi?mode=link&id=201&url=//nxm.us/ivXmv,himeji,sutekinet,info,http://ww38.himeji.sutekinet.info/rank.cgi?mode=link&id=201&url=//nxm.us/ivXmv,0,0,0,0,0,T-Mobile,Deceptive subdomain,Advertisement,himeji.sutekinet.info,"GoDaddy.com, LLC",4/29/2011,
338,"7:45
?
(970) 909-5793
SMS
|||
FEB 2, 2022 AT 12:26 PM
Your Online Chase Bank Account
has been blocked due to unusual
activities. Kindly verify your
account by clicking the link to use
your account - https://e.vg/GJZPS
Tap and hold to pin
SMS
57% ?? 5
O
<
i
V",(970) 909-5793,Phone Number,"12/21/2022, 04:42:07",Your Online Chase Bank Account has been blocked due to unusual activities. Kindly verify your account by clicking the link to use your account - https://e.vg/GJZPS,https://e.vg/GJZPS,,e,vg,,1,0,1,0,0,Chase Bank,Random Domain,Account Alert,e.vg,https://www.101domain.com/,7/1/2014,7/18/2022
339,"3
5:28
O
89
A
A
20 People >
Text Message
Sat, Dec 10 at 9:41 PM
+1 (646) 207-1930
Tmo-bi1: Please note here is your
Holiday little surprise gift to
convey our reciprocal loyalty for
your outstanding payment
history. Let's have another great
year: NU711.iNfo/ph9mqgxzrR
The sender and other recipients are not in your contact list.
Report Junk
Cash
Text Message
50
O",+1 (646) 207-1930,Phone Number,"12/21/2022, 04:46:07",Tmo-bi1: Please note here is your Holiday little surprise gift to convey our reciprocal loyalty for your outstanding payment history. Let's have another great year: NU711.iNfo/ph9mqgxzrR,NU711.iNfo/ph9mqgxzrR,,nu711,info,,0,0,0,0,0,,Deceptive subdomain,Prize/Contest,nu711.info,Hosting Concepts B.V. ,12/10/2022,12/15/2022
340,"7:46
?
partnerzgh@samsrk.com
partnerzgh@samsrk.com
|||
JUL 6, 2021 AT 9:03 AM
Sams Club/ Summer prizes has
just arrived only for limited time get
your chance here:
https://network3.blob.core
.windows.net/twhqvz/twhqvz.html
Tap and hold to pin
SMS
57% ?? 5
O
<
i
2",partnerzgh@samsrk.co,Email To Text,"12/21/2022, 04:53:08",Sams Club/ Summer prizes has just arrived only for limited time get your chance here: https://network3.blob.core.windows.net/twhqvz/twhqvz.html ,https://network3.blob.core.windows.net/twhqvz/twhqvz.html,"network3, blob, core",windows,net,,0,0,0,0,0,Sams Club,Deceptive subdomain,Prize/Contest,network3.blob.core.windows.net,"MarkMonitor, Inc.",8/10/1995,
341,"7:46
?
promolqn@carrierlqn.com
promolqn@carrierlqn.com
JUL 4, 2021 AT 7:25 AM
|||
T-Mobile / Rush Hour is back, as
T-mobile customer you have
received massive discount on
offers up to 100.00 USD. Visit:
https://mobile1.blob.core.windows
.net/25897/25897.html
Tap and hold to pin
SMS
56% ?? 5
O
<
i
V",promolqn@carrierlqn.com,Email To Text,"12/21/2022, 04:55:59","T-Mobile / Rush Hour is back, as T-mobile customer you have received massive discount on offers up to 100.00 USD. Visit: https://mobile1.blob.core.windows.net/25897/25897.html Tap and hold to pin",https://mobile1.blob.core.windows.net/25897/25897.html,"mobile1, blob, core",windows,net,,0,0,0,0,0,T-Mobile,Deceptive subdomain,Advertisement,mobile1.blob.core.windows.net,"MarkMonitor, Inc.",8/10/1995,
358,"AT&T Wi-Fi
A
10:40 PM
1410100017 >
FRM:Oprahstoday.com
Discount#EX455123150
MSG:This giveaway is
oprahs largest everl
Discount#EX455123150
A
Text Message
Mon, Nov 7 at 7:49 AM
The sender is not in your contact list.
Report Junk
Text Message
Cash
45%
0",1410100017,Phone Number,"12/21/2022, 07:22:05",FRM:Oprahstoday.com Discount#EX455123150 MSG:This giveaway is oprahs largest everl Discount#EX455123150,Oprahstoday.com,,oprahstoday,com,https://oprahstoday.com/,0,0,0,0,0,Oprah,Random Domain,Prize/Contest,oprahstoday.com,"NameCheap, Inc.",10/30/2022,1/1/2001
359,"AT&T Wi-Fi ?
Text Message
Sun, Oct 30 at 5:06 PM
FRM:|Voucher#VX832774|
oprahstoday.com
MSG:Oprah is doing her
biggest giveawayl
Voucher#VX832774
A
10:41 PM
1410100016 >
The sender is not in your contact list.
Report Junk
A
Text Message
Cash
45%
0",1410100016,Phone Number,"12/21/2022, 07:24:08",FRM:|Voucher#VX832774| oprahstoday.com MSG:Oprah is doing her biggest giveawayl Voucher#VX832774,oprahstoday.com,,oprahstoday,com,https://oprahstoday.com/,0,0,0,0,0,Oprah,Random Domain,Advertisement,oprahstoday.com,"NameCheap, Inc.",10/30/2022,1/1/2001
360,"AT&T Wi-Fi
restart.subscription.receipt.message9... >
Mon, Oct 24 at 1:20 PM
10:42 PM
NETFLIX REMINDER.
Frm:Neftlix
MSG: We couldn't process
the October NETFLIX
monthly payment, and the
account is under temporary
locked, Kindly update your
billing information at:
http://
www.web.billing problem38
68.b3k5h.com
to
regain full access to your
account and avoid any
restrictions.
NET-58259957
Stop.SMS rates may apply
October-membership.
A
Text Message
A *Cash
44%
0",restart.subscription.receipt.message9...,Email To Text,"12/21/2022, 07:26:01","NETFLIX REMINDER. Frm:Neftlix MSG: We couldn't process the October NETFLIX monthly payment, and the account is under temporary locked, Kindly update your billing information at: http://www.web.billing problem3868.b3k5h.com to regain full access to your account and avoid any restrictions. NET-58259957 Stop.SMS rates may apply October-membership.",http://www.web.billing problem3868.b3k5h.com,"www, web, billing-problem3868",b3k5h,com,,0,0,0,0,0,Netflix,Deceptive subdomain,Account Alert,b3k5h.com,Sav.com LLC,5/24/2022,5/24/2022
361,"AT&T Wi-Fi
10:43 PM
1410100015 >
FRM:www.OprahDeals.sbs
(sms_ID=VRWDSAD614)
A
Text Message
Mon, Oct 17 at 2:18 PM
MSG:Oprah's Biggest Give-
Away Ever!
(sms_ID=VRWDSAD614)
A
The sender is not in your contact list.
Report Junk
Text Message
Cash
44%
0",1410100015,Phone Number,"12/21/2022, 07:26:53",FRM:www.OprahDeals.sbs (sms_ID=VRWDSAD614) MSG:Oprah's Biggest Give Away Ever! (sms_ID=VRWDSAD614),www.OprahDeals.sbs,www,oprahdeals,sbs,https://www.oprahdeals.sbs/,0,0,0,0,0,Oprah,,Advertisement,www.oprahdeals.sbs,"NameCheap, Inc.",9/21/2022,9/21/2022
362,"23:02 IMM
[{]
6673912589
This message is from an unsaved number.
Beware of smishing and phishing.
O
Your Wife will Love Your Boner
laughramble.com/67YLUw
|||
Block number
Thursday, October 20
+
O
76% ?? .
MMS
20:05
<
:
·|1|"".",6673912589,Phone Number,"12/21/2022, 07:27:32",Your Wife will Love Your Boner laughramble.com/67YLUw,laughramble.com/67YLUw,,laughramble,com,,0,0,0,0,0,,Random Domain,Advertisement,laughramble.com,Internet BS Corp.,10/21/2022,11/30/2022
363,"AT&T Wi-Fi
A
10:43 PM
1410100014 >
FRM:www.Oprahs.diet
(Voucher#CIGS97)
MSG:Were Announcing
Oprah's Latest Natural
Flavor Dietary Candy Give-
Away (Voucher#CIGS97)
A
Text Message
Sun, Oct 9 at 11:49 AM
The sender is not in your contact list.
Report Junk
Text Message
Cash
44%
0",1410100014,Phone Number,"12/21/2022, 07:27:33",FRM:www.Oprahs.diet (Voucher#CIGS97) MSG:Were Announcing Oprah's Latest Natural Flavor Dietary Candy Give  Away (Voucher#CIGS97),www.Oprahs.diet,www,oprahs,diet,https://www.oprahs.diet/,1,1,0,0,0,Oprah,Random Domain,Advertisement,www.oprahs.diet,"NameCheap, Inc.",9/21/2022,9/21/2022
364,"23:03 M M*.
18
+12796675474
This message is from an unsaved number.
Beware of smishing and phishing.
Delivery Service - Your
p@ackage has arrived at
the distribution center, your
address format is incorrect
please update:http://qr.co6.info
/ui69
|||
Block number
Tuesday, September 27
o +
O
all 75%
07:22
<
:
·|1|"".",12796675474,Phone Number,"12/21/2022, 07:29:14","Delivery Service - Your p@ackage has arrived at the distribution center, your address format is incorrect please update:http://qr.co6.info/ui69",http://qr.co6.info/ui69,qr,co6,info,,1,0,1,0,0,,Random Domain,Delivery,qr.co6.info,"Sav.com, LLC",9/23/2022,9/23/2022
365,"23:03 M M.
18
13022506174
This message is from an unsaved number.
Beware of smishing and phishing.
Treat yourself today and
tomorrow when you register at
Costco. Get your card valued
at $55, this will not last too
long. Yes, you can share! http://
sidedeity.finance/lgUzySA5
|||
Block number
Friday, August 19
o +
O
all 75%
MMS
08:21
<
:
·|1|"".",13022506174,Phone Number,"12/21/2022, 07:30:47","Treat yourself today and tomorrow when you register at Costco. Get your card valued at $55, this will not last too long. Yes, you can share! http://sidedeity.finance/lgUzySA5",http://sidedeity.finance/lgUzySA5,,sidedeity,finance,,0,0,0,0,0,Costco,Random Domain,Advertisement,sidedeity.finance,"NameCheap, Inc.",8/19/2022,8/19/2022
366,"23:03 M M.
18
+19852439261
This message is from an unsaved number.
Beware of smishing and phishing.
EDD- A new login was detected
in Flint, Michigan visit http://e
-d-d-safety022.duckdns.org/a if
that was not you.
|||
Block number
Monday, August 1
O +
O
all 75%
16:04
<
:
·|1|"".",19852439261,Phone Number,"12/21/2022, 07:31:59","EDD- A new login was detected in Flint, Michigan visit http://e-d-d-safety022.duckdns.org/a if that was not you.",http://e-d-d-safety022.duckdns.org/a,,e-d-d-safety022,"duckdns, org",https://e-d-d-safety022.duckdns.org/a/,4,0,4,0,0,EDD,Random Domain,Account Alert,e-d-d-safety022.duckdns.org,Gandi SAS,10/30/2022,10/30/2022
367,"11:28
< +1 310-467-0429
Add to contacts
• +
|||
ONA
Saturday, November 16, 2019
<Subject: Friend Req>
Do Hey It looks like we
live really close. Check
me out 3woe.xyz/
bApNnm3lur Lets chat
and maybe meet up
soon. Talk soon
O
Block number
54%
Q :
MMS
5:16 PM
r
11/1.",+1 310-467-0429,Phone Number,"12/21/2022, 07:32:52",<Subject: Friend Req> Do Hey It looks like we live really close. Check me out 3woe.xyz/bApNnm3lur Lets chat and maybe meet up soon. Talk soon,3woe.xyz/bApNnm3lur,,3woe,xyz,,0,0,0,1,0,,Random Domain,Wrong Number/Romance Scam,3woe.xyz,,,
369,"11:22
< info-caseid565510@...
Do
Add to contacts
Wednesday, July 13, 2022
Amazon.com: We found
a suspicious transaction,
for security reasons we
have deactivated your
account. please secure
and verify your payment
method to reactivate
your account, click and
follow the instructions
from the following
link: https://l.ead.me
/Amazon-Account-Verify
-ID9517453
• + |
|||
O
Block number
55%
Q:
MMS
3:44 PM
r
11/1.",info-caseid565510@...,Email To Text,"12/21/2022, 07:35:07","Amazon.com: We found a suspicious transaction, for security reasons we have deactivated your account. please secure and verify your payment method to reactivate your account, click and follow the instructions from the following link: https://l.ead.me/Amazon-Account-Verify-ID9517453",https://l.ead.me/Amazon-Account-Verify-ID9517453,l,ead,me,https://www.cloudways.com/en/,3,1,2,0,0,Amazon,Deceptive subdomain,Account Alert,l.ead.me,GANDI SAS,10/20/2015,9/16/2022
370,"11:21
< amazon-supporttime-...
muray, August 4, 2ULL
<Subject: Unusual
Activity>
: We've suspend your
Amazon account due to
unusual activity.
New Login attempt has
been blocked from :
Mozilla Firefox 8.7
120.12.194.127 -
Russia]
Your Amazon account
has been locked by our
system.
If this wasn't you, please
verify with link below:
https://lindsy352
.preview.softr.app/?t=
1659623895934
? View all
• +
|||
O
2 | 55%
Q :
MMS
9:30 AM
r
·11/1.",amazon-supporttime-...,Email To Text,"12/21/2022, 07:36:11","<Subject: Unusual Activity> : We've suspend your Amazon account due to unusual activity. New Login attempt has been blocked from : Mozilla Firefox 8.7 120.12.194.127 - Russia] Your Amazon account has been locked by our system. If this wasn't you, please verify with link below: https://lindsy352.preview.softr.app/?t=1659623895934 ",https://lindsy352.preview.softr.app/?t=1659623895934,"lindsy352, preview",softr,app,https://pxlme.me/l7z-GBS0,0,0,0,0,0,Amazon,Deceptive subdomain,Account Alert,lindsy352.preview.softr.app,"NameCheap, Inc.",1/13/2021,7/10/2022
